AverageTemperature,City,Year,Month
26.208,Acapulco,1859,9
26.387,Acapulco,1859,10
26.273,Acapulco,1859,11
24.142,Acapulco,1859,12
24.223,Acapulco,1860,1
23.344,Acapulco,1860,2
22.541,Acapulco,1860,3
24.214,Acapulco,1860,4
25.668,Acapulco,1860,5
28.006,Acapulco,1860,6
27.417,Acapulco,1860,7
26.739,Acapulco,1860,8
26.345,Acapulco,1860,9
26.271,Acapulco,1860,10
26.136,Acapulco,1860,11
24.583,Acapulco,1860,12
23.84,Acapulco,1861,1
23.01,Acapulco,1861,2
23.597,Acapulco,1861,3
24.421,Acapulco,1861,4
25.655,Acapulco,1861,5
27.807,Acapulco,1861,6
27.874,Acapulco,1861,7
27.198,Acapulco,1861,8
26.75,Acapulco,1861,9
26.148,Acapulco,1861,10
27.405,Acapulco,1861,11
26.103,Acapulco,1861,12
25.097,Acapulco,1862,1
23.567,Acapulco,1862,2
23.764,Acapulco,1862,3
24.697,Acapulco,1862,4
26.154,Acapulco,1862,5
27.323,Acapulco,1862,6
27.679,Acapulco,1862,7
27.275,Acapulco,1862,8
26.346,Acapulco,1862,9
25.773,Acapulco,1862,10
25.744,Acapulco,1862,11
24.227,Acapulco,1862,12
24.77,Acapulco,1863,1
24.601,Acapulco,1863,2
24.913,Acapulco,1863,3
24.837,Acapulco,1863,4
25.546,Acapulco,1863,5
27.429,Acapulco,1863,6
27.347,Acapulco,1863,7
26.991,Acapulco,1863,8
26.7,Acapulco,1863,9
26.248,Acapulco,1863,10
25.919,Acapulco,1863,11
24.583,Acapulco,1863,12
23.869,Acapulco,1864,1
23.841,Acapulco,1864,2
23.221,Acapulco,1864,3
24.228,Acapulco,1864,4
25.601,Acapulco,1864,5
27.548,Acapulco,1864,6
27.371,Acapulco,1864,7
26.907,Acapulco,1864,8
27.014,Acapulco,1864,9
26.016,Acapulco,1864,10
25.853,Acapulco,1864,11
25.586,Acapulco,1864,12
25.133,Acapulco,1865,1
23.92,Acapulco,1865,2
23.568,Acapulco,1865,3
24.216,Acapulco,1865,4
25.914,Acapulco,1865,5
27.506,Acapulco,1865,6
27.489,Acapulco,1865,7
27.446,Acapulco,1865,8
26.484,Acapulco,1865,9
26.285,Acapulco,1865,10
26.494,Acapulco,1865,11
26.003,Acapulco,1865,12
25.619,Acapulco,1866,1
23.616,Acapulco,1866,2
24.46,Acapulco,1866,3
24.32,Acapulco,1866,4
26.004,Acapulco,1866,5
26.76,Acapulco,1866,6
27.343,Acapulco,1866,7
27.239,Acapulco,1866,8
27.155,Acapulco,1866,9
26.012,Acapulco,1866,10
26.003,Acapulco,1866,11
26.013,Acapulco,1866,12
25.729,Acapulco,1867,1
24.758,Acapulco,1867,2
25.426,Acapulco,1867,3
24.997,Acapulco,1867,4
26.327,Acapulco,1867,5
27.67,Acapulco,1867,6
27.488,Acapulco,1867,7
27.487,Acapulco,1867,8
27.369,Acapulco,1867,9
26.86,Acapulco,1867,10
26.473,Acapulco,1867,11
27.168,Acapulco,1867,12
25.258,Acapulco,1868,1
23.533,Acapulco,1868,2
24.345,Acapulco,1868,3
24.574,Acapulco,1868,4
25.696,Acapulco,1868,5
27.496,Acapulco,1868,6
27.006,Acapulco,1868,7
27.199,Acapulco,1868,8
26.753,Acapulco,1868,9
26.774,Acapulco,1868,10
25.204,Acapulco,1868,11
24.946,Acapulco,1868,12
25.231,Acapulco,1869,1
25.661,Acapulco,1869,2
24.896,Acapulco,1869,3
25.324,Acapulco,1869,4
26.402,Acapulco,1869,5
